WB_ID,WB_KEY,WB_UPDATED,WB_STATUS,WB_TITLE,WB_GUESS1,WB_GUESS2,WB_GUESS3,WB_SCORE,NAME,NAME_LOCAL,NAME_ALT,WOE_NAME,GN_NAME,REGION
naturalEarth.3180,Laguna|Philippines,7/21/2014 16:50:40,V,Laguna (province),Laguna (province),Renault Laguna,Club de Fútbol Laguna,20.64191713,Laguna,,,Laguna,Province of Laguna,CALABARZON (Region IV-A)
naturalEarth.3190,Sultan Kudarat|Philippines,7/21/2014 16:50:40,V,Sultan Kudarat,Sultan Kudarat,"Sultan Kudarat, Maguindanao",Muhammad Kudarat,20.63461849,Sultan Kudarat,,,Sultan Kudarat,Province of Sultan Kudarat,SOCCSKSARGEN (Region XII)
naturalEarth.3134,Cebu|Philippines,7/21/2014 16:50:38,V,Cebu,Cebu,Cebu City,Mactan-Cebu International Airport,20.59773815,Cebu,,,Cebu,Province of Cebu,Central Visayas (Region VII)
naturalEarth.648,Liaoning|China,7/21/2014 16:47:55,V,Liaoning,Liaoning,"Donggang, Liaoning","Xiaoshi, Liaoning",20.57634188,Liaoning,遼寧|辽宁,Liáoníng,Liaoning,Liaoning Sheng,Northeast China
naturalEarth.2088,Almaty City|Kazakhstan,7/21/2014 16:49:41,V,Almaty,Almaty,Almaty Central Stadium,Provinces of Kazakhstan,20.56455164,Almaty City,Алматы қаласы,Alma-Ata,Almaty,Almaty Qalasy,
naturalEarth.632,Beijing|China,7/21/2014 16:47:53,V,Beijing,Beijing,China Open (tennis),Roman Catholic Archdiocese of Beijing,20.53131989,Beijing,北京|北京,Běijīng,Beijing,Beijing Shi,North China
naturalEarth.636,Xizang|China,7/21/2014 16:47:54,V,Tibet Autonomous Region,Tibet Autonomous Region,西湖,西山,20.52559622,Xizang,西藏自治區|西藏自治区,Tibet|Xīzàng,Xizang,Tibet Autonomous Region,Southwest China
naturalEarth.3189,Cotabato|Philippines,7/21/2014 16:50:40,V,Cotabato,Cotabato,Cotabato City,North Cotabato Rural Airport,20.48010247,Cotabato,,North Cotabato,Cotabato,Province of North Cotabato,SOCCSKSARGEN (Region XII)
naturalEarth.3167,Nueva Vizcaya|Philippines,7/21/2014 16:50:39,V,Nueva Vizcaya,Nueva Vizcaya,"Nueva Vizcaya, New Spain",Legislative district of Nueva Vizcaya,20.4480232,Nueva Vizcaya,,,Nueva Vizcaya,Province of Nueva Vizcaya,Cagayan Valley (Region II)
naturalEarth.1521,Lower River|Gambia,7/21/2014 16:48:57,V,Lower River Division,Lower River Division,South Bank,South Bank F.C.,20.4222739,Lower River,,South Bank,Lower River,Lower River Division,
naturalEarth.4408,Massachusetts|United States of America,7/21/2014 16:51:52,V,Massachusetts,Massachusetts,Massachusetts Supreme Judicial Court,University of Massachusetts Amherst,20.30488078,Massachusetts,,Commonwealth of Massachusetts|MA|Mass.,Massachusetts,Massachusetts,Northeast
naturalEarth.3201,Davao del Norte|Philippines,7/21/2014 16:50:40,V,Davao del Norte,Davao del Norte,Davao City,Davao Region,20.30426388,Davao del Norte,,Davao,Davao del Norte,Province of Davao del Norte,Davao (Region XI)
naturalEarth.2292,Mulativ|Sri Lanka,7/21/2014 16:49:53,V,Mullaitivu District,Mullaitivu District,Mullaitivu,Air Tigers,20.29278763,Mulativ,,Mulativu|Mullaitivu,Mullaitivu,Mullaittivu District,Uturu paḷāta
naturalEarth.4455,Pennsylvania|United States of America,7/21/2014 16:51:57,V,Pennsylvania,Pennsylvania,University of Pennsylvania,Province of Pennsylvania,20.28499821,Pennsylvania,,Commonwealth of Pennsylvania|PA,Pennsylvania,Pennsylvania,Northeast
naturalEarth.4416,California|United States of America,7/21/2014 16:51:53,V,California,California,Canada,"University of California, Berkeley",20.27848378,California,,CA|Calif.,California,California,West
naturalEarth.3164,Isabela|Philippines,7/21/2014 16:50:39,V,Isabela (province),Isabela (province),"Isabela, Puerto Rico","Isabela, Basilan",20.26312413,Isabela,,,Isabela,Province of Isabela,Cagayan Valley (Region II)
naturalEarth.3027,Sagarmatha|Nepal,7/21/2014 16:50:32,V,Sagarmatha Zone,Sagarmatha Zone,Sagarmatha Secondary Boarding School,Baburam Acharya,20.26159384,Sagarmatha,सगरमाथा,,Sagarmatha,Sagarmatha Zone,East
naturalEarth.4434,Rhode Island|United States of America,7/21/2014 16:51:55,V,Rhode Island,Rhode Island,University of Rhode Island,Rhode Island Supreme Court,20.18833947,Rhode Island,,State of Rhode Island and Providence Plantations|RI|R.I.,Rhode Island,Rhode Island,Northeast
naturalEarth.3029,Mechi|Nepal,7/21/2014 16:50:32,V,Mechi Zone,Mechi Zone,Mechi River,Mech tribe,20.16604648,Mechi,,,Mechi,Mechi Zone,East
naturalEarth.2264,Dennery|Saint Lucia,7/21/2014 16:49:52,V,Dennery Quarter,Dennery Quarter,Dennery River,Mike Dennery,20.12093904,Dennery,,,Dennery,Quarter of Dennery,
naturalEarth.4449,West Virginia|United States of America,7/21/2014 16:51:56,V,West Virginia,West Virginia,West Virginia University,West Virginia Mountaineers football,20.1103093,West Virginia,,WV|W.Va.,West Virginia,West Virginia,South
naturalEarth.4443,Kentucky|United States of America,7/21/2014 16:51:56,V,Kentucky,Kentucky,University of Kentucky,Kentucky Wildcats men's basketball,20.09865626,Kentucky,,Commonwealth of Kentucky|KY,Kentucky,Kentucky,South
naturalEarth.3052,Marlborough District|New Zealand,7/21/2014 16:50:33,V,Marlborough Region,Marlborough Region,"Marlborough, Wiltshire",Marlborough (UK Parliament constituency),20.07778321,Marlborough District,,,Marlborough,Marlborough,South Island
naturalEarth.4590,Va'a-o-Fonoti|Samoa,7/21/2014 16:52:04,V,Va'a-o-Fonoti,Va'a-o-Fonoti,Vas o No Vas,Vas o No Vas (Mexican game show),20.06505934,Va'a-o-Fonoti,,,Va`a-o-Fonoti,Va`a-o-Fonoti,
naturalEarth.3946,Mayo-Kebbi Ouest|Chad,7/21/2014 16:51:28,V,Mayo-Kebbi Ouest Region,Mayo-Kebbi Ouest Region,Mayo-Kebbi Est Region,Mayo West,20.04813536,Mayo-Kebbi Ouest,,,Mayo-Kebbi Ouest,Mayo-Kebbi West Region,
naturalEarth.3941,Mayo-Kebbi Est|Chad,7/21/2014 16:51:28,V,Mayo-Kebbi Est Region,Mayo-Kebbi Est Region,Mayo-Kebbi Ouest Region,Mayo East,20.04554459,Mayo-Kebbi Est,,,Mayo-Kebbi Est,Mayo-Kebbi East Region,
naturalEarth.3168,Quirino|Philippines,7/21/2014 16:50:39,V,Quirino,Quirino,Thiago Quirino,"Quirino, Isabela",20.04046514,Quirino,,,Quirino,Province of Quirino,Cagayan Valley (Region II)
naturalEarth.4441,Illinois|United States of America,7/21/2014 16:51:55,V,Illinois,Illinois,Supreme Court of Illinois,University of Illinois at Urbana–Champaign,20.02206865,Illinois,,IL|Ill.,Illinois,Illinois,Midwest
naturalEarth.647,Henan|China,7/21/2014 16:47:54,V,Henan,Henan,"Baliwan, Henan","Xinghua, Henan",19.99707781,Henan,河南,Hénán,Henan,Henan Sheng,South Central China
naturalEarth.642,Hubei|China,7/21/2014 16:47:54,V,Hubei,Hubei,"Dongjin, Hubei","Yandian, Hubei",19.99595846,Hubei,湖北,Húběi,Hubei,Hubei Sheng,South Central China
naturalEarth.651,Jiangxi|China,7/21/2014 16:47:55,V,Jiangxi,Jiangxi,"Xiangtang, Jiangxi","Zhongguan, Jiangxi",19.99206908,Jiangxi,江西,Jiāngxī,Jiangxi,Jiangxi Sheng,East China
naturalEarth.654,Zhejiang|China,7/21/2014 16:47:55,V,Zhejiang,Zhejiang,"Suzhuang, Zhejiang","Huangdian, Zhejiang",19.98780854,Zhejiang,浙江,Zhèjiāng,Zhejiang,Zhejiang Sheng,East China
naturalEarth.644,Sichuan|China,7/21/2014 16:47:54,V,Sichuan,Sichuan,"Longtou, Sichuan","Chewang, Sichuan",19.98362355,Sichuan,四川,Sìchuān,Sichuan,Sichuan Sheng,Southwest China
naturalEarth.643,Hunan|China,7/21/2014 16:47:54,V,Hunan,Hunan,"Guoyuan, Hunan","Jiangbei, Hunan",19.98300894,Hunan,湖南,Húnán,Hunan,Hunan Sheng,South Central China
naturalEarth.3026,Narayani|Nepal,7/21/2014 16:50:32,V,Narayani Zone,Narayani Zone,Gandaki River,Bhagavathi,19.98000004,Narayani,,,Narayani,Narayani Zone,Central
naturalEarth.4587,A'ana|Samoa,7/21/2014 16:52:04,V,A'ana,A'ana,Ana,ANAS,19.97633662,A'ana,,,A`ana,A'ana,
naturalEarth.4591,Fa'asaleleaga|Samoa,7/21/2014 16:52:04,V,Fa'asaleleaga,Fa'asaleleaga,FA,Fas,19.97520102,Fa'asaleleaga,,,Fa`asaleleaga,Fa`asaleleaga,
naturalEarth.1697,Nagykanizsa|Hungary,7/21/2014 16:49:07,V,Nagykanizsa,Nagykanizsa,Zalas,"Zala, Cerknica",19.97096297,Nagykanizsa,,,Nagykanizsa,Zala megye,Western Transdanubia
naturalEarth.634,Anhui|China,7/21/2014 16:47:53,V,Anhui,Anhui,Anhui Laomingguang Stadium,"Xincun, Anhui",19.96688753,Anhui,安徽|安徽,Ānhuī,Anhui,Anhui Sheng,East China
naturalEarth.638,Hainan|China,7/21/2014 16:47:54,V,Hainan,Hainan,"Zhongyuan, Hainan","Lingshan, Hainan",19.96577716,Hainan,海南,Hǎinán,Hainan,Hainan Sheng,South Central China
naturalEarth.3171,Nueva Ecija|Philippines,7/21/2014 16:50:39,V,Nueva Ecija,Nueva Ecija,"Gabaldon, Nueva Ecija",Legislative districts of Nueva Ecija,19.96430817,Nueva Ecija,,,Nueva Ecija,Province of Nueva Ecija,Central Luzon (Region III)
naturalEarth.4547,Đắk Nông|Vietnam,7/21/2014 16:52:01,V,Đắk Nông Province,Đắk Nông Province,Nong,DAKS,19.96288207,Đắk Nông,,Dak Nong,Dac Nong,Dak Nong,Tây Nguyên
naturalEarth.3038,Ewa|Nauru,7/21/2014 16:50:32,V,"Ewa District, Nauru","Ewa District, Nauru","Ewa Villages, Hawaii",Ewa Siemaszko,19.95777782,Ewa,,,Ewa,Ewa District,
naturalEarth.4473,Tashkent|Uzbekistan,7/21/2014 16:51:58,V,Tashkent,Tashkent,Tashkent International Airport,Toshkent (Tashkent Metro),19.95697593,Tashkent,,Taschkent|Toshkent,Tashkent,Toshkent Shahri,
naturalEarth.3172,Pampanga|Philippines,7/21/2014 16:50:40,V,Pampanga,Pampanga,SM City Pampanga,Legislative districts of Pampanga,19.95550306,Pampanga,,,Pampanga,Province of Pampanga,Central Luzon (Region III)
naturalEarth.103,Sant Julià de Lòria|Andorra,7/21/2014 16:47:19,V,Sant Julià de Lòria,Sant Julià de Lòria,Sant Salvador de Guardiola,Sant Fost de Campsentelles,19.95155364,Sant Julià de Lòria,,,Sant JuliÃ  de LÃ²ria,Parroquia de Sant Julia de Loria,
naturalEarth.3135,Negros Oriental|Philippines,7/21/2014 16:50:38,V,Negros Oriental,Negros Oriental,"Tayasan, Negros Oriental",Legislative districts of Negros Oriental,19.9486193,Negros Oriental,,,Negros Oriental,Province of Negros Oriental,Central Visayas (Region VII)
naturalEarth.3137,Negros Occidental|Philippines,7/21/2014 16:50:38,V,Negros Occidental,Negros Occidental,"San Enrique, Negros Occidental",Negros Occidental F.A.,19.94681917,Negros Occidental,,,Negros Occidental,Province of Negros Occidental,Western Visayas (Region VI)
naturalEarth.1700,Szekszárd|Hungary,7/21/2014 16:49:07,V,Szekszárd,Szekszárd,Tolna,"Tolna, Pennsylvania",19.9462219,Szekszárd,,,Szekszárd,Tolna megye,Southern Transdanubia
naturalEarth.3144,Aklan|Philippines,7/21/2014 16:50:38,V,Aklan,Aklan,"Kalibo, Aklan",Legislative district of Aklan,19.94285719,Aklan,,,Aklan,Province of Aklan,Western Visayas (Region VI)
naturalEarth.3152,Camarines Norte|Philippines,7/21/2014 16:50:39,V,Camarines Norte,Camarines Norte,"Daet, Camarines Norte",Legislative districts of Camarines Norte,19.93593215,Camarines Norte,,,Camarines Norte,Province of Camarines Norte,Bicol (Region V)
naturalEarth.3166,Mountain Province|Philippines,7/21/2014 16:50:39,V,Mountain Province,Mountain Province,Legislative district of Mountain Province,"Philippine general election, 2010",19.93436298,Mountain Province,,,Mountain Province,Mountain Province,Cordillera Administrative Region (CAR)
naturalEarth.3199,Bukidnon|Philippines,7/21/2014 16:50:40,V,Bukidnon,Bukidnon,"Valencia, Bukidnon",Lumad peoples,19.92433785,Bukidnon,,,Bukidnon,Province of Bukidnon,Northern Mindanao (Region X)
naturalEarth.4595,Satupa'itea|Samoa,7/21/2014 16:52:04,V,Satupa'itea,Satupa'itea,Itea,Itea (plant),19.89684211,Satupa'itea,,,Satupa`itea,Satupa`itea,
naturalEarth.655,Jilin|China,7/21/2014 16:47:55,V,Jilin,Jilin,Jilin City,"Pingtai, Jilin",19.88877308,Jilin,吉林,Jílín,Jilin,Jilin Sheng,Northeast China
naturalEarth.3179,Bulacan|Philippines,7/21/2014 16:50:40,V,Bulacan,Bulacan,"Bulacan, Bulacan",Legislative districts of Bulacan,19.88687555,Bulacan,,,Bulacan,Province of Bulacan,Central Luzon (Region III)
naturalEarth.160,Barbuda|Antigua and Barbuda,7/21/2014 16:47:25,V,Barbuda,Barbuda,Barbuda Codrington Airport,Compendium of postage stamp issuers (Ba – Be),19.88326848,Barbuda,,,Barbuda,Barbuda,
naturalEarth.4454,New York|United States of America,7/21/2014 16:51:56,V,New York,New York,New York City,New York Court of Appeals,19.87565083,New York,,NY|N.Y.,New York,New York,Northeast
naturalEarth.1525,Bissau|Guinea Bissau,7/21/2014 16:48:57,V,Bissau,Bissau,Osvaldo Vieira International Airport,Roman Catholic Diocese of Bissau,19.87205704,Bissau,,,Bissau,Bissau Region,Bissau
naturalEarth.3170,Tarlac|Philippines,7/21/2014 16:50:39,V,Tarlac,Tarlac,Tarlac City,Legislative districts of Tarlac,19.8571044,Tarlac,,,Tarlac,Province of Tarlac,Central Luzon (Region III)
naturalEarth.3146,Capiz|Philippines,7/21/2014 16:50:38,V,Capiz,Capiz,"Roxas, Capiz",Roman Catholic Archdiocese of Capiz,19.85246372,Capiz,,,Capiz,Province of Capiz,Western Visayas (Region VI)
naturalEarth.3178,Batangas|Philippines,7/21/2014 16:50:40,V,Batangas,Batangas,Batangas City,"Calatagan, Batangas",19.85009595,Batangas,,,Batangas,Province of Batangas,CALABARZON (Region IV-A)
naturalEarth.4418,Nevada|United States of America,7/21/2014 16:51:53,V,Nevada,Nevada,"University of Nevada, Reno",Supreme Court of Nevada,19.83130206,Nevada,,NV|Nev.,Nevada,Nevada,West
naturalEarth.3159,Cagayan|Philippines,7/21/2014 16:50:39,V,Cagayan,Cagayan,Cagayan Valley,Cagayan River,19.8287395,Cagayan,,,Cagayan,Province of Cagayan,Cagayan Valley (Region II)
naturalEarth.2291,Mannārama|Sri Lanka,7/21/2014 16:49:52,V,Mannar District,Mannar District,Mannar Island,"Mannar, Sri Lanka",19.82066888,Mannārama,,Mannar,Mannar,Mannar District,Uturu paḷāta
naturalEarth.4437,Florida|United States of America,7/21/2014 16:51:55,V,Florida,Florida,Supreme Court of Florida,"St. Petersburg, Florida",19.79267217,Florida,,FL|Fla.,Florida,Florida,South
naturalEarth.4425,Kansas|United States of America,7/21/2014 16:51:54,V,Kansas,Kansas,University of Kansas,Kansas Speedway,19.79171521,Kansas,,KS|Kans.,Kansas,Kansas,Midwest
naturalEarth.3156,Sorsogon|Philippines,7/21/2014 16:50:39,V,Sorsogon,Sorsogon,Sorsogon City,Legislative districts of Sorsogon,19.7867227,Sorsogon,,,Sorsogon,Province of Sorsogon,Bicol (Region V)
naturalEarth.4446,Tennessee|United States of America,7/21/2014 16:51:56,V,Tennessee,Tennessee,University of Tennessee,Tennessee Volunteers football,19.78547478,Tennessee,,TN|Tenn.,Tennessee,Tennessee,South
naturalEarth.4448,Wisconsin|United States of America,7/21/2014 16:51:56,V,Wisconsin,Wisconsin,Wisconsin Supreme Court,Wisconsin's 2nd congressional district,19.77589253,Wisconsin,,WI|Wis.,Wisconsin,Wisconsin,Midwest
naturalEarth.579,Yukon|Canada,7/21/2014 16:47:48,V,Yukon,Yukon,Diocese of Yukon,Yukon (electoral district),19.76115474,Yukon,,Yukon Territory|Territoire du Yukon|Yukon|Yuk¢n,Yukon,Yukon,Northern Canada
naturalEarth.3169,Bataan|Philippines,7/21/2014 16:50:39,V,Bataan,Bataan,Battle of Bataan,Bataan Peninsula,19.75982958,Bataan,,,Bataan,Province of Bataan,Central Luzon (Region III)
naturalEarth.639,Ningxia|China,7/21/2014 16:47:54,V,Ningxia,Ningxia,"Haicheng, Ningxia","Heicheng, Ningxia",19.73563842,Ningxia,寧夏回族自治區|宁夏回族自治区,Ningxia Hui|Níngxià Húizú,Ningxia,Ningxia Huizu Zizhiqu,Northwest China
naturalEarth.3033,Aiwo|Nauru,7/21/2014 16:50:32,V,Aiwo District,Aiwo District,Aiwo Constituency,,19.72137928,Aiwo,,,Aiwo,Aiwo District,
naturalEarth.4422,Wyoming|United States of America,7/21/2014 16:51:54,V,Wyoming,Wyoming,University of Wyoming,State highways in Wyoming,19.71765633,Wyoming,,WY|Wyo.,Wyoming,Wyoming,West
naturalEarth.3602,Chiesanuova|San Marino,7/21/2014 16:51:10,V,Chiesanuova,Chiesanuova,"Chiesanuova, Piedmont",,19.71698116,Chiesanuova,,,Chiesanuova,Chiesanuova,
naturalEarth.2275,Schaan|Liechtenstein,7/21/2014 16:49:52,V,Schaan,Schaan,FC Schaan,,19.71232878,Schaan,,,Schaan,Schaan,
naturalEarth.4444,North Carolina|United States of America,7/21/2014 16:51:56,V,North Carolina,North Carolina,University of North Carolina at Chapel Hill,North Carolina Supreme Court,19.70916176,North Carolina,,NC|N.C.,North Carolina,North Carolina,South
naturalEarth.3150,Romblon|Philippines,7/21/2014 16:50:39,V,Romblon,Romblon,Romblon (island),"Santa Fe, Romblon",19.69671384,Romblon,,,Romblon,Province of Romblon,MIMAROPA (Region IV-B)
naturalEarth.657,Heilongjiang|China,7/21/2014 16:47:55,V,Heilongjiang,Heilongjiang,"Zhaozhou, Heilongjiang","Hualin, Heilongjiang",19.69551249,Heilongjiang,黑龙江省|黑龍江省,Hēilóngjiāng,Heilongjiang,Heilongjiang Sheng,Northeast China
naturalEarth.645,Yunnan|China,7/21/2014 16:47:54,V,Yunnan,Yunnan,"Lucheng, Yunnan","Shaxi, Yunnan",19.69154759,Yunnan,雲南|云南,Yúnnán,Yunnan,Yunnan Sheng,Southwest China
naturalEarth.652,Jiangsu|China,7/21/2014 16:47:55,V,Jiangsu,Jiangsu,"Shahe, Jiangsu","Shaxi, Jiangsu",19.69137776,Jiangsu,江蘇|江苏,Jiāngsū,Jiangsu,Jiangsu Sheng,East China
naturalEarth.3155,Masbate|Philippines,7/21/2014 16:50:39,V,Masbate,Masbate,Masbate Island,"Baleno, Masbate",19.6836082,Masbate,,,Masbate,Province of Masbate,Bicol (Region V)
naturalEarth.3921,Rif Dimashq|Syria,7/21/2014 16:51:27,V,Rif Dimashq Governorate,Rif Dimashq Governorate,Damascus International Airport,Damascus,19.68348843,Rif Dimashq,,,Damascus,Muhafazat Rif Dimashq,
naturalEarth.637,Xinjiang|China,7/21/2014 16:47:54,V,Xinjiang,Xinjiang,"Almaliq, Xinjiang","Beitun, Xinjiang",19.68219226,Xinjiang,新疆維吾爾自治區|新疆维吾尔自治区,Xinjiang Uygur|Xīnjiāng Wéiwúěr,Xinjiang,Xinjiang Uygur Zizhiqu,Northwest China
naturalEarth.649,Shandong|China,7/21/2014 16:47:55,V,Shandong,Shandong,"Changguan, Shandong","Zhangwan, Shandong",19.67899984,Shandong,山東|山东,Shāndōng,Shandong,Shandong Sheng,East China
naturalEarth.2293,Yāpanaya|Sri Lanka,7/21/2014 16:49:53,V,Jaffna District,Jaffna District,Jaffna Airport,Jaffna railway station,19.67825607,Yāpanaya,,Jaffna,Jaffna,Jaffna District,Uturu paḷāta
naturalEarth.627,Gansu|China,7/21/2014 16:47:53,V,Gansu,Gansu,Zhelaizhai,Silk Route Museum,19.67017116,Gansu,甘肅|甘肃,Gānsù,Gansu,Gansu Sheng,Northwest China
naturalEarth.3147,Iloilo|Philippines,7/21/2014 16:50:38,V,Iloilo,Iloilo,Iloilo International Airport,Iloilo City,19.65966569,Iloilo,,,Iloilo,Province of Iloilo,Western Visayas (Region VI)
naturalEarth.4445,Ohio|United States of America,7/21/2014 16:51:56,V,Ohio,Ohio,Ohio University,Hydroxide,19.65880712,Ohio,,OH|Ohio,Ohio,Ohio,Midwest
naturalEarth.4430,Louisiana|United States of America,7/21/2014 16:51:54,V,Louisiana,Louisiana,List A cricket,Los Angeles,19.61297107,Louisiana,,LA,Louisiana,Louisiana,South
naturalEarth.2285,Ampāra|Sri Lanka,7/21/2014 16:49:52,V,Ampara District,Ampara District,Ampara,Ampara Airport,19.59294673,Ampāra,,Amparai|Ampara,Ampara,Ampara District,Næ̆gĕnahira paḷāta
naturalEarth.3132,Tawi-Tawi|Philippines,7/21/2014 16:50:38,V,Tawi-Tawi,Tawi-Tawi,Legislative district of Tawi-Tawi,Sanga-Sanga Airport,19.58332286,Tawi-Tawi,,,Tawitawi,Province of Tawi-Tawi,Autonomous Region in Muslim Mindanao (ARMM)
naturalEarth.3157,Abra|Philippines,7/21/2014 16:50:39,V,Abra (province),Abra (province),Abra (rapper),Abra,19.58146956,Abra,,,Abra,Province of Abra,Cordillera Administrative Region (CAR)
naturalEarth.2299,Hambantŏṭa|Sri Lanka,7/21/2014 16:49:53,V,Hambantota District,Hambantota District,Mattala Rajapaksa International Airport,Mahinda Rajapaksa International Stadium,19.57750835,Hambantŏṭa,,Hambantota,Hambantota,Hambantota District,Dakuṇu paḷāta
naturalEarth.3044,Yaren|Nauru,7/21/2014 16:50:32,V,Yaren District,Yaren District,Yaren,Aylin Yaren,19.57499995,Yaren,,,Yaren,Yaren,
naturalEarth.2296,Puttalama|Sri Lanka,7/21/2014 16:49:53,V,Puttalam District,Puttalam District,Puttalam,Puttalam Electoral District,19.56666797,Puttalama,,Puttalam,Puttalam,Puttalam District,Vayamba paḷāta
naturalEarth.3030,Rapti|Nepal,7/21/2014 16:50:32,V,Rapti Zone,Rapti Zone,West Rapti River,Puja (Hinduism),19.55810873,Rapti,राप्ती,,Rapti,Rapti Zone,Mid-Western
naturalEarth.4457,Michigan|United States of America,7/21/2014 16:51:57,V,Michigan,Michigan,Michigan Supreme Court,University of Michigan,19.54020407,Michigan,,MI|Mich.,Michigan,Michigan,Midwest
